week,stat,teams,val
1,R,Ian,24.0
1,HR,Ian,12.0
1,RBI,"Dante,Ian",23.0
1,SB,Dante,6.0
1,TB,Ian,82.0
1,AVG,Ian,0.284
1,OBP,gabriel,0.378
1,IP,Jose,38.0
1,K,Jose,49.0
1,ERA,JT,0.32
1,WHIP,JT,0.67
1,SV,Zach,6.0
2,R,"david,dawson",40.0
2,HR,gabriel,11.0
2,RBI,david,39.0
2,SB,Zach,12.0
2,TB,"david,dawson",108.0
2,AVG,david,0.316
2,OBP,david,0.385
2,IP,Jahn,64.2
2,K,Jahn,71.0
2,ERA,david,1.56
2,WHIP,david,0.78
2,SV,Zach,6.0
3,R,Ben,38.0
3,HR,gabriel,11.0
3,RBI,gabriel,36.0
3,SB,Zach,17.0
3,TB,nathan,103.0
3,AVG,Jahn,0.293
3,OBP,nathan,0.373
3,IP,JT,68.2
3,K,Jahn,79.0
3,ERA,dawson,2.1
3,WHIP,dawson,1.02
3,SV,adam,6.0
4,R,JT,47.0
4,HR,JT,22.0
4,RBI,Ian,47.0
4,SB,adam,8.0
4,TB,JT,136.0
4,AVG,Ian,0.307
4,OBP,Ian,0.38
4,IP,dawson,73.2
4,K,JT,74.0
4,ERA,dawson,2.57
4,WHIP,dawson,0.99
4,SV,"JT,gabriel",7.0
5,R,Dante,40.0
5,HR,"Jahn,quinn",14.0
5,RBI,Ben,41.0
5,SB,Zach,11.0
5,TB,quinn,126.0
5,AVG,quinn,0.323
5,OBP,quinn,0.403
5,IP,Matt,92.0
5,K,Matt,83.0
5,ERA,Ben,1.58
5,WHIP,Ben,0.85
5,SV,Zach,8.0
6,R,Dante,42.0
6,HR,JT,14.0
6,RBI,Dante,46.0
6,SB,gabriel,8.0
6,TB,david,117.0
6,AVG,david,0.305
6,OBP,Dante,0.387
6,IP,Matt,66.1
6,K,Matt,66.0
6,ERA,quinn,1.7
6,WHIP,quinn,1.06
6,SV,Zach,6.0
7,R,Zach,38.0
7,HR,Ian,14.0
7,RBI,gabriel,39.0
7,SB,Dante,12.0
7,TB,"Zach,gabriel",112.0
7,AVG,Matt,0.289
7,OBP,gabriel,0.362
7,IP,Ian,75.0
7,K,nathan,76.0
7,ERA,david,2.6
7,WHIP,nathan,0.92
7,SV,adam,6.0
